"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This error test","SUCCESS","2020-01-09T15:33:20.284+02:00[Africa/Harare]","0.0","1.21"
"First serenity test","Manual test","PENDING","2020-01-09T15:33:22.203+02:00[Africa/Harare]","0.0","0.0"
"Student CRUD","Create a new student POST METHOD","ERROR","2020-01-09T15:33:22.882+02:00[Africa/Harare]","0.0","22.22"
"First serenity test","This a pending test","PENDING","2020-01-09T15:33:22.955+02:00[Africa/Harare]","0.0","0.64"
"First serenity test","This a ignore test","IGNORED","2020-01-09T15:33:23.594+02:00[Africa/Harare]","0.0","0.71"
"First serenity test","This test will get All Students from the student Api","ERROR","2020-01-09T15:33:24.321+02:00[Africa/Harare]","0.0","10.32"
"Student CRUD","Deleting Newly Created Student Information DELETE METHOD","ERROR","2020-01-09T15:33:46.43+02:00[Africa/Harare]","0.0","5.19"
"Student CRUD","Get Students GET METHOD","ERROR","2020-01-09T15:33:51.633+02:00[Africa/Harare]","0.0","4.83"
"Student CRUD","Updating the Student Info POST METHOD","ERROR","2020-01-09T15:33:56.472+02:00[Africa/Harare]","0.0","4.8"
"Web test","Home page","SUCCESS","2020-01-09T15:34:03.059+02:00[Africa/Harare]","0.0","10.58"
"Create student data driven","DataDriven Test for adding multiple students to the application","ERROR","2020-01-09T15:34:26.747+02:00[Africa/Harare]","0.0","376.13"
"Testing API request","Checking for Sanity Testing","ERROR","2020-01-09T15:33:20.403+02:00[Africa/Harare]","0.0","11.17"
"Testing API request","Create a new student and verify if it added","ERROR","2020-01-09T15:33:34.388+02:00[Africa/Harare]","0.0","0.1"
